Eula Phelps

Marvin Douglas

Tyler Edwards

Sam Oliver

Mae Bowman

Ina Torres

Clyde Wade

Tommy Duncan

Effie Massey

Lula Rios

Lettie Sullivan

Dylan Ball

Chester Neal

Stephen Sutton

Marian Sims

Leila Garrett

Nellie Dixon

Agnes Hopkins

Clifford Marshall

Cordelia Carroll

Joshua Griffin

Effie Frazier

Jeffrey Wright

Madge Gutierrez

Winifred Wheeler

Violet Hanson
Jerome Lowe

Dylan Holloway

Elijah Doyle

Bertie Ryan

Raymond Clarke
Jon Burns
Evelyn Gibbs
Warren Hall
Dale Mann
Anne Burgess

Lois Gross

Erik Doyle

Dominic Brock

Virginia Crawford

Fred Ingram

Annie Miller

Edith Gilbert

Louisa Herrera

Harold Keller

Belle Lawson

Cordelia Haynes

Rose Herrera

Ray Turner

Austin Long

Seth Rivera

Jeffery Reed

Marvin Holland

Lucille Arnold

Rosie Griffith

Gene Caldwell

Cecilia Alexander

Kathryn Hale

Patrick Kennedy
Billy Lawrence

Bryan Waters

Bill Miller

Emma Cox

Katie Quinn

Isabella Parker

Carrie Sullivan

Leah Haynes

Jeanette Owens

Paul Gross

Isaiah Graham

Henry Rice

Roy Watkins

Teresa Clark

Sophia Ruiz

Leo Wood

Mable Boone

Katherine Rivera

Violet Simon

Alfred Chapman

Chester Stokes

Jorge Rowe

Isabella Caldwell

Ada Walker

Willie McKenzie

Lucille Thornton

Eugene Leonard

Joel Hogan

Frank Rose

